entity_id,date,mean_demand_kw,maximum_demand_kw,minimum_demand_kw,daily_energy_kwh,peak_time,load_factor,peak_to_average_ratio,standard_deviation_kw,coefficient_of_variation,is_complete_day
Campus_A,2025-06-01,114.78778947368421,192.44,79.25,2726.21,13:45:00,0.5964861228106642,1.6764849369637702,34.62984529978616,0.3016857930496628,False
Campus_A,2025-06-02,348.1020833333334,641.18,234.16,8354.45,17:00:00,0.5429085176289551,1.8419309469803513,120.41425132404314,0.34591649142397585,True
Campus_A,2025-06-03,372.0446875,701.97,228.8,8929.0725,17:00:00,0.5300008369303532,1.8867894733747543,144.85430565664845,0.38934652347817345,True
Campus_A,2025-06-04,375.7308854166667,708.1600000000001,225.08999999999997,9017.54125,16:45:00,0.5305734373823241,1.8847532302666208,147.7006504426486,0.39310223400681044,True
Campus_A,2025-06-05,342.5053125,646.98,227.87,8220.1275,17:00:00,0.5293908814801076,1.8889634011151288,114.62087138822515,0.3346542877002095,True
Campus_A,2025-06-06,251.80828703703705,536.85,88.52,6043.398888888889,08:45:00,0.469047754562796,2.131979079469445,136.86479666234388,0.5435277697680109,True
Campus_A,2025-06-07,111.62666666666667,189.52999999999997,70.50999999999999,2679.04,13:30:00,0.5889656870504231,1.6978917821309123,32.56524707710633,0.29173357988329846,True
Campus_A,2025-06-08,106.57968749999999,170.56,73.49,2557.9125,13:30:00,0.624880907012195,1.600304936153993,25.71656793230981,0.24128957905144743,True
Campus_A,2025-06-09,359.2427083333334,648.26,228.51,8621.825,17:00:00,0.5541645456041301,1.8045181849550411,132.28877201413871,0.3682434436258366,True
Campus_A,2025-06-10,350.28166666666675,656.99,227.54000000000002,8406.760000000002,17:00:00,0.5331613368037059,1.8756048703662287,121.94395187666441,0.3481311284061809,True
Campus_A,2025-06-11,774.5022916666667,1088.22,635.65,18588.055,16:45:00,0.711714811036984,1.4050571724690937,145.18163224754502,0.18745152055667366,True
Campus_A,2025-06-12,373.2526041666667,683.5999999999999,228.09,8958.0625,17:00:00,0.5460102460015605,1.8314674629698104,144.1320219670314,0.38615141691730254,True
Campus_A,2025-06-13,360.72583333333336,664.78,231.63,8657.42,16:45:00,0.5426243769868729,1.8428954584622206,133.4919330160099,0.3700647990260652,True
Campus_A,2025-06-14,127.68812500000001,224.38,72.81,3064.5150000000003,12:45:00,0.5690708842142794,1.757250331618543,48.31585755405994,0.3783895922511192,True
Campus_A,2025-06-15,118.583125,206.78,64.36,2845.995,13:00:00,0.5734748283199536,1.7437556987977842,40.163821093969894,0.3386976105914724,True
Campus_A,2025-06-16,349.18822916666664,628.99,228.20999999999998,8380.5175,16:45:00,0.5551570440971504,1.8012921039780658,121.096478648397,0.3467942746449164,True
Campus_A,2025-06-17,365.5923958333333,663.75,225.25,8774.217499999999,16:45:00,0.5507983364720652,1.815546514546739,138.03339160274754,0.37756089343191473,True
Campus_A,2025-06-18,347.4539583333333,646.44,224.32,8338.894999999999,17:00:00,0.537488333539591,1.8605054986302147,121.59596695596504,0.3499628196473467,True
Campus_A,2025-06-19,373.2419791666666,692.0699999999999,230.23,8957.807499999999,17:00:00,0.5393124671878086,1.8542126519240338,145.46699304848497,0.3897391000156723,True
Campus_A,2025-06-20,356.68822916666664,646.49,231.57,8560.5175,17:00:00,0.5517304663129617,1.8124792105150187,129.7853945557397,0.3638622862855842,True
Campus_A,2025-06-21,106.83291666666666,179.81,63.019999999999996,2563.99,13:15:00,0.5941433550228945,1.6830954878919187,29.092815749693496,0.27232071029631316,True
Campus_A,2025-06-22,91.19,91.19,91.19,22.7975,00:00:00,1.0,1.0,,,False
