timestamp,meter_id,temperature_f,observed_demand_kw,is_observed,interpolated_demand_kw,analysis_demand_kw,is_interpolated,data_quality_flag,date,year,month,day,day_of_year,hour,minute,day_of_week,day_name,is_weekday,is_weekend,season,day_type,energy_kwh
2025-06-01 00:15:00,B001,54.7,47.05,True,,47.05,False,observed,2025-06-01,2025,6,1,152,0,15,6,Sunday,False,True,summer,weekend,11.7625
2025-06-01 00:30:00,B001,54.5,62.28,True,,62.28,False,observed,2025-06-01,2025,6,1,152,0,30,6,Sunday,False,True,summer,weekend,15.57
2025-06-01 00:45:00,B001,54.3,51.26,True,,51.26,False,observed,2025-06-01,2025,6,1,152,0,45,6,Sunday,False,True,summer,weekend,12.815
2025-06-01 01:00:00,B001,54.2,49.07,True,,49.07,False,observed,2025-06-01,2025,6,1,152,1,0,6,Sunday,False,True,summer,weekend,12.2675
2025-06-01 01:15:00,B001,54.2,49.68,True,,49.68,False,observed,2025-06-01,2025,6,1,152,1,15,6,Sunday,False,True,summer,weekend,12.42
2025-06-01 01:30:00,B001,54.3,56.76,True,,56.76,False,observed,2025-06-01,2025,6,1,152,1,30,6,Sunday,False,True,summer,weekend,14.19
2025-06-01 01:45:00,B001,54.4,55.42,True,,55.42,False,observed,2025-06-01,2025,6,1,152,1,45,6,Sunday,False,True,summer,weekend,13.855
2025-06-01 02:00:00,B001,54.5,55.8,True,,55.8,False,observed,2025-06-01,2025,6,1,152,2,0,6,Sunday,False,True,summer,weekend,13.95
2025-06-01 02:15:00,B001,54.8,55.95,True,,55.95,False,observed,2025-06-01,2025,6,1,152,2,15,6,Sunday,False,True,summer,weekend,13.9875
2025-06-01 02:30:00,B001,55.1,69.63,True,,69.63,False,observed,2025-06-01,2025,6,1,152,2,30,6,Sunday,False,True,summer,weekend,17.407499999999995
2025-06-01 02:45:00,B001,55.4,49.25,True,,49.25,False,observed,2025-06-01,2025,6,1,152,2,45,6,Sunday,False,True,summer,weekend,12.3125
2025-06-01 03:00:00,B001,55.9,48.4,True,,48.4,False,observed,2025-06-01,2025,6,1,152,3,0,6,Sunday,False,True,summer,weekend,12.1
2025-06-01 03:15:00,B001,56.3,45.99,True,,45.99,False,observed,2025-06-01,2025,6,1,152,3,15,6,Sunday,False,True,summer,weekend,11.4975
2025-06-01 03:30:00,B001,56.9,57.43,True,,57.43,False,observed,2025-06-01,2025,6,1,152,3,30,6,Sunday,False,True,summer,weekend,14.3575
2025-06-01 03:45:00,B001,57.4,61.53,True,,61.53,False,observed,2025-06-01,2025,6,1,152,3,45,6,Sunday,False,True,summer,weekend,15.3825
2025-06-01 04:00:00,B001,58.1,51.59,True,,51.59,False,observed,2025-06-01,2025,6,1,152,4,0,6,Sunday,False,True,summer,weekend,12.8975
2025-06-01 04:15:00,B001,58.8,45.78,True,,45.78,False,observed,2025-06-01,2025,6,1,152,4,15,6,Sunday,False,True,summer,weekend,11.445
2025-06-01 04:30:00,B001,59.5,45.9,True,,45.9,False,observed,2025-06-01,2025,6,1,152,4,30,6,Sunday,False,True,summer,weekend,11.475
2025-06-01 04:45:00,B001,60.2,57.7,True,,57.7,False,observed,2025-06-01,2025,6,1,152,4,45,6,Sunday,False,True,summer,weekend,14.425
2025-06-01 05:00:00,B001,61.0,58.45,True,,58.45,False,observed,2025-06-01,2025,6,1,152,5,0,6,Sunday,False,True,summer,weekend,14.6125
2025-06-01 05:15:00,B001,61.9,56.85,True,,56.85,False,observed,2025-06-01,2025,6,1,152,5,15,6,Sunday,False,True,summer,weekend,14.2125
2025-06-01 05:30:00,B001,62.8,47.18,True,,47.18,False,observed,2025-06-01,2025,6,1,152,5,30,6,Sunday,False,True,summer,weekend,11.795
2025-06-01 05:45:00,B001,63.7,54.36,True,,54.36,False,observed,2025-06-01,2025,6,1,152,5,45,6,Sunday,False,True,summer,weekend,13.59
2025-06-01 06:00:00,B001,64.6,53.43,True,,53.43,False,observed,2025-06-01,2025,6,1,152,6,0,6,Sunday,False,True,summer,weekend,13.3575
2025-06-01 06:15:00,B001,65.5,54.25,True,,54.25,False,observed,2025-06-01,2025,6,1,152,6,15,6,Sunday,False,True,summer,weekend,13.5625
2025-06-01 06:30:00,B001,66.5,59.47,True,,59.47,False,observed,2025-06-01,2025,6,1,152,6,30,6,Sunday,False,True,summer,weekend,14.8675
2025-06-01 06:45:00,B001,67.5,54.29,True,,54.29,False,observed,2025-06-01,2025,6,1,152,6,45,6,Sunday,False,True,summer,weekend,13.5725
2025-06-01 07:00:00,B001,68.4,57.93,True,,57.93,False,observed,2025-06-01,2025,6,1,152,7,0,6,Sunday,False,True,summer,weekend,14.4825
2025-06-01 07:15:00,B001,69.4,53.04,True,,53.04,False,observed,2025-06-01,2025,6,1,152,7,15,6,Sunday,False,True,summer,weekend,13.26
2025-06-01 07:30:00,B001,70.4,54.81,True,,54.81,False,observed,2025-06-01,2025,6,1,152,7,30,6,Sunday,False,True,summer,weekend,13.702500000000002
2025-06-01 07:45:00,B001,71.4,57.55,True,,57.55,False,observed,2025-06-01,2025,6,1,152,7,45,6,Sunday,False,True,summer,weekend,14.3875
2025-06-01 08:00:00,B001,72.3,40.84,True,,40.84,False,observed,2025-06-01,2025,6,1,152,8,0,6,Sunday,False,True,summer,weekend,10.21
2025-06-01 08:15:00,B001,73.3,49.94,True,,49.94,False,observed,2025-06-01,2025,6,1,152,8,15,6,Sunday,False,True,summer,weekend,12.484999999999998
2025-06-01 08:30:00,B001,74.2,48.74,True,,48.74,False,observed,2025-06-01,2025,6,1,152,8,30,6,Sunday,False,True,summer,weekend,12.185
2025-06-01 08:45:00,B001,75.1,48.23,True,,48.23,False,observed,2025-06-01,2025,6,1,152,8,45,6,Sunday,False,True,summer,weekend,12.0575
2025-06-01 09:00:00,B001,76.0,56.47,True,,56.47,False,observed,2025-06-01,2025,6,1,152,9,0,6,Sunday,False,True,summer,weekend,14.1175
2025-06-01 09:15:00,B001,76.9,75.79,True,,75.79,False,observed,2025-06-01,2025,6,1,152,9,15,6,Sunday,False,True,summer,weekend,18.9475
2025-06-01 09:30:00,B001,77.7,61.86,True,,61.86,False,observed,2025-06-01,2025,6,1,152,9,30,6,Sunday,False,True,summer,weekend,15.465
2025-06-01 09:45:00,B001,78.5,81.28,True,,81.28,False,observed,2025-06-01,2025,6,1,152,9,45,6,Sunday,False,True,summer,weekend,20.32
2025-06-01 10:00:00,B001,79.3,64.57,True,,64.57,False,observed,2025-06-01,2025,6,1,152,10,0,6,Sunday,False,True,summer,weekend,16.1425
2025-06-01 10:15:00,B001,80.0,79.6,True,,79.6,False,observed,2025-06-01,2025,6,1,152,10,15,6,Sunday,False,True,summer,weekend,19.9
2025-06-01 10:30:00,B001,80.6,87.55,True,,87.55,False,observed,2025-06-01,2025,6,1,152,10,30,6,Sunday,False,True,summer,weekend,21.8875
2025-06-01 10:45:00,B001,81.2,94.62,True,,94.62,False,observed,2025-06-01,2025,6,1,152,10,45,6,Sunday,False,True,summer,weekend,23.655000000000005
2025-06-01 11:00:00,B001,81.8,98.98,True,,98.98,False,observed,2025-06-01,2025,6,1,152,11,0,6,Sunday,False,True,summer,weekend,24.745
2025-06-01 11:15:00,B001,82.3,102.68,True,,102.68,False,observed,2025-06-01,2025,6,1,152,11,15,6,Sunday,False,True,summer,weekend,25.67
2025-06-01 11:30:00,B001,82.8,96.26,True,,96.26,False,observed,2025-06-01,2025,6,1,152,11,30,6,Sunday,False,True,summer,weekend,24.065
2025-06-01 11:45:00,B001,83.2,97.71,True,,97.71,False,observed,2025-06-01,2025,6,1,152,11,45,6,Sunday,False,True,summer,weekend,24.4275
2025-06-01 12:00:00,B001,83.5,110.27,True,,110.27,False,observed,2025-06-01,2025,6,1,152,12,0,6,Sunday,False,True,summer,weekend,27.5675
2025-06-01 12:15:00,B001,83.8,103.51,True,,103.51,False,observed,2025-06-01,2025,6,1,152,12,15,6,Sunday,False,True,summer,weekend,25.8775
2025-06-01 12:30:00,B001,84.0,96.1,True,,96.1,False,observed,2025-06-01,2025,6,1,152,12,30,6,Sunday,False,True,summer,weekend,24.025
2025-06-01 12:45:00,B001,84.1,98.12,True,,98.12,False,observed,2025-06-01,2025,6,1,152,12,45,6,Sunday,False,True,summer,weekend,24.530000000000005
2025-06-01 13:00:00,B001,84.2,100.33,True,,100.33,False,observed,2025-06-01,2025,6,1,152,13,0,6,Sunday,False,True,summer,weekend,25.0825
2025-06-01 13:15:00,B001,84.2,111.78,True,,111.78,False,observed,2025-06-01,2025,6,1,152,13,15,6,Sunday,False,True,summer,weekend,27.945
2025-06-01 13:30:00,B001,84.2,108.68,True,,108.68,False,observed,2025-06-01,2025,6,1,152,13,30,6,Sunday,False,True,summer,weekend,27.17
2025-06-01 13:45:00,B001,84.1,112.41,True,,112.41,False,observed,2025-06-01,2025,6,1,152,13,45,6,Sunday,False,True,summer,weekend,28.1025
2025-06-01 14:00:00,B001,83.9,102.43,True,,102.43,False,observed,2025-06-01,2025,6,1,152,14,0,6,Sunday,False,True,summer,weekend,25.6075
2025-06-01 14:15:00,B001,83.7,105.7,True,,105.7,False,observed,2025-06-01,2025,6,1,152,14,15,6,Sunday,False,True,summer,weekend,26.425
2025-06-01 14:30:00,B001,83.4,107.66,True,,107.66,False,observed,2025-06-01,2025,6,1,152,14,30,6,Sunday,False,True,summer,weekend,26.915
2025-06-01 14:45:00,B001,83.0,98.03,True,,98.03,False,observed,2025-06-01,2025,6,1,152,14,45,6,Sunday,False,True,summer,weekend,24.5075
2025-06-01 15:00:00,B001,82.6,101.66,True,,101.66,False,observed,2025-06-01,2025,6,1,152,15,0,6,Sunday,False,True,summer,weekend,25.415
